amfi_code,scheme_name,annualized_std_dev,max_drawdown,beta,alpha,latest_nav,sma_30_latest,ema_30_latest,cluster,risk_profile
100016,Scheme 100016,0.6171670071007287,-0.3843998497440364,-0.16324253042602752,1.5623780571341963,583.6113,603.5084666666667,599.8409770159545,0,Low Risk
100025,Scheme 100025,0.22732128532083118,-0.19873080106686283,0.22794820091579873,0.040977083599616035,31.8843,31.894503333333333,31.8817414153501,0,Low Risk
100033,Scheme 100033,0.9510274118962269,-0.7420665171054825,1.4377387255290073,2.777470545192778,342.0072,353.73829,348.12404115233915,2,Medium Risk
101206,Scheme 101206,0.8319569196410584,-0.6300386275789805,0.7078013496758846,2.2908550155542504,773.2939,777.4588433333333,766.826463989084,2,Medium Risk
101207,Scheme 101207,0.9808269958160094,-0.5216277363571064,0.19322674940224732,1.3251152401753095,53.9836,54.526096666666675,54.84106690717854,2,Medium Risk
101208,Scheme 101208,0.20993136212604696,-0.2384665244697529,0.18694280735555635,0.08023181149526018,410.1021,407.80305000000004,407.7834527950585,0,Low Risk
102885,Scheme 102885,0.6503938588374986,-0.5551528631747543,0.7340661977705093,1.7561110491965632,187.7797,182.1080466666667,182.5599387334909,0,Low Risk
102886,Scheme 102886,0.8072000726546584,-0.32793004680348886,-0.16211984181395311,0.40285882986369337,125.564,126.31426666666668,127.38955059106372,2,Medium Risk
102887,Scheme 102887,0.8734817723954957,-0.6386541992249729,0.6537285728938128,5.809076465597405,378.9657,372.19285666666667,372.17674560917095,2,Medium Risk
118632,Scheme 118632,0.8798228167354399,-0.6228148743648335,0.8852414801481305,1.556368064508927,110.5554,110.43383,108.91208664540486,2,Medium Risk
118633,Scheme 118633,0.7074678686569141,-0.49693380039397095,0.5422185576716176,1.48175685702882,91.601,87.89130333333334,88.6309409724793,0,Low Risk
118634,Scheme 118634,1.0333127492826677,-0.5800117577049305,0.035771767061125254,4.1114707913405395,134.6683,130.12350666666669,129.30550709017578,2,Medium Risk
118635,Scheme 118635,0.6763271332178189,-0.543973295445682,0.4537105396362968,1.7471623046635931,326.7508,324.1294433333333,324.9648388364247,0,Low Risk
118636,Scheme 118636,0.28741008227726933,-0.19255187137233962,0.12152447501921865,-0.044318148801473514,37.8243,37.3452,37.4265656471906,0,Low Risk
119092,Scheme 119092,0.5403465383957005,-0.3789593059452862,0.6357873790854346,0.43491615229073183,50.8387,51.08486333333334,51.01430739996039,0,Low Risk
119093,Scheme 119093,0.6912471999279971,-0.4492495806921663,0.07141822036585899,1.8872511897345383,58.4203,54.65798333333333,55.36561528811473,0,Low Risk
