company_id,year,pattern_label,description
1.0,2011.0,AGGRESSIVE_EXPANSION,Reinvesting >60% CFO into CapEx
1.0,2012.0,AGGRESSIVE_EXPANSION,Reinvesting >60% CFO into CapEx
1.0,2013.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
1.0,2014.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
1.0,2015.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
1.0,2016.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
1.0,2017.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
1.0,2018.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
1.0,2019.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
1.0,2020.0,AGGRESSIVE_EXPANSION,Reinvesting >60% CFO into CapEx
1.0,2021.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
1.0,2022.0,AGGRESSIVE_EXPANSION,Reinvesting >60% CFO into CapEx
1.0,2023.0,AGGRESSIVE_EXPANSION,Reinvesting >60% CFO into CapEx
1.0,2024.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
2.0,2011.0,AGGRESSIVE_EXPANSION,Reinvesting >60% CFO into CapEx
2.0,2012.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
2.0,2013.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
2.0,2014.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
2.0,2015.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
2.0,2016.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
2.0,2017.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
2.0,2018.0,AGGRESSIVE_EXPANSION,Reinvesting >60% CFO into CapEx
2.0,2019.0,AGGRESSIVE_EXPANSION,Reinvesting >60% CFO into CapEx
2.0,2020.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
2.0,2021.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
2.0,2022.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
2.0,2023.0,AGGRESSIVE_EXPANSION,Reinvesting >60% CFO into CapEx
2.0,2024.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
3.0,2011.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
3.0,2012.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
3.0,2013.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
3.0,2014.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
3.0,2015.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
3.0,2016.0,AGGRESSIVE_EXPANSION,Reinvesting >60% CFO into CapEx
3.0,2017.0,AGGRESSIVE_EXPANSION,Reinvesting >60% CFO into CapEx
3.0,2018.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
3.0,2019.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
3.0,2020.0,AGGRESSIVE_EXPANSION,Reinvesting >60% CFO into CapEx
3.0,2021.0,AGGRESSIVE_EXPANSION,Reinvesting >60% CFO into CapEx
3.0,2022.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
3.0,2023.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
3.0,2024.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
4.0,2011.0,AGGRESSIVE_EXPANSION,Reinvesting >60% CFO into CapEx
4.0,2012.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
4.0,2013.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
4.0,2014.0,AGGRESSIVE_EXPANSION,Reinvesting >60% CFO into CapEx
4.0,2015.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
4.0,2016.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
4.0,2017.0,AGGRESSIVE_EXPANSION,Reinvesting >60% CFO into CapEx
4.0,2018.0,AGGRESSIVE_EXPANSION,Reinvesting >60% CFO into CapEx
4.0,2019.0,BALANCED_GROWTH,Reinvesting CFO while reducing debt/paying dividend
4.0,2020.0,AGGRESSIVE_EXPANSION,Reinvesting >60% CFO into CapEx
